,date,BTC,ETH,MIOTA,ADA,XLM,LINK
87,2021-07-06,33702.79,2196.71,0.8171,1.405,0.2537,18.36
88,2021-07-07,34237.66,2322.63,0.8478,1.418,0.2604,20.07
89,2021-07-08,33880.79,2317.12,0.8844,1.403,0.2584,19.79
90,2021-07-09,32874.01,2114.51,0.812,1.329,0.2439,18.37
91,2021-07-10,33804.2,2145.67,0.8166,1.35,0.2465,18.66
92,2021-07-11,33515.13,2110.47,0.7858,1.336,0.2458,18.21
93,2021-07-12,34249.3,2140.45,0.8305,1.348,0.2529,18.37
94,2021-07-13,33088.51,2032.88,0.7885,1.314,0.2402,17.53
95,2021-07-14,32737.47,1940.61,0.7483,1.265,0.2335,16.88
96,2021-07-15,32820.5,1994.22,0.7305,1.263,0.24,16.94
97,2021-07-16,31867.46,1918.17,0.689,1.226,0.2408,15.75
98,2021-07-17,31401.76,1877.05,0.6498,1.172,0.2351,15.24
99,2021-07-18,31546.64,1899.96,0.6832,1.173,0.2326,15.36
100,2021-07-19,31806.3,1891.96,0.6755,1.183,0.2299,15.48
