Date,Type,Exchange,Base Amount,Base Currency,Quote Amount,Quote Currency,Fee,Fee Currency
02/26/2021 09:29:40,Trade,Lykke,156.9293,USD,-142.9625,CHF,0,
02/26/2021 09:29:39,Trade,Lykke,2138.4484,USD,-1948.1264,CHF,0,
02/26/2021 09:29:39,Trade,Lykke,647.4593,USD,-589.8354,CHF,0,
02/26/2021 09:29:39,Trade,Lykke,300,USD,-273.3,CHF,0,
02/26/2021 09:29:39,Trade,Lykke,646.7747,USD,-589.2117,CHF,0,
02/26/2021 09:29:38,Trade,Lykke,145.6942,USD,-132.7274,CHF,0,
02/26/2021 09:29:38,Trade,Lykke,300,USD,-273.3,CHF,0,
02/26/2021 09:29:38,Trade,Lykke,646.1635,USD,-588.6549,CHF,0,
02/26/2021 09:29:38,Trade,Lykke,645.4803,USD,-588.0325,CHF,0,
02/26/2021 09:29:38,Trade,Lykke,300,USD,-273.3,CHF,0,
02/26/2021 09:29:38,Trade,Lykke,145.6942,USD,-132.7274,CHF,0,
02/26/2021 09:29:38,Trade,Lykke,51.1941,USD,-46.6379,CHF,0,
02/26/2021 09:08:07,CashIn,Lykke,10000,CHF,,,0,
02/11/2021 00:36:52,CashOut,Lykke,-0.0028,BTC,,,0.0005,BTC
02/04/2021 21:48:08,CashOut,Lykke,-0.0255,BTC,,,0.0005,BTC
02/04/2021 13:37:38,CashOut,Lykke,-0.0505,BTC,,,0.0005,BTC
01/19/2021 13:55:27,Trade,Lykke,0.00061234,BTC,-22.7708,USD,0,
01/19/2021 13:55:27,Trade,Lykke,0.01,BTC,-371.866,USD,0,
01/19/2021 13:55:26,Trade,Lykke,0.01,BTC,-371.866,USD,0,
01/19/2021 13:55:26,Trade,Lykke,0.01,BTC,-371.866,USD,0,
01/19/2021 13:55:26,Trade,Lykke,0.01,BTC,-371.866,USD,0,
01/19/2021 13:55:26,Trade,Lykke,0.01,BTC,-371.866,USD,0,
01/19/2021 13:55:18,Trade,Lykke,0.0001,BTC,-3.7187,USD,0,
01/10/2021 08:43:18,CashOut,Lykke,-0.0405,BTC,,,0.0005,BTC
01/10/2021 05:20:37,Trade,Lykke,0.05,BTC,-2000,USD,0,
